Unnamed: 0,precision,recall,f1-score,support,field
click,0.57,0.75,0.65,33462,0
click,0.67,0.48,0.56,33462,1
click,0.64,0.59,0.62,33462,2
click,0.65,0.57,0.61,33462,3
click,0.66,0.55,0.6,33462,4
click,0.65,0.59,0.62,33462,5
click,0.64,0.56,0.6,33462,6
click,0.65,0.57,0.61,33462,7
click,0.65,0.59,0.61,33462,8
click,0.65,0.56,0.61,33462,9
click,0.64,0.6,0.62,33462,10
click,0.64,0.57,0.6,33462,11
click,0.65,0.59,0.61,33462,12
click,0.67,0.48,0.56,33462,13
click,0.64,0.6,0.62,33462,14
click,0.65,0.56,0.6,33462,15
click,0.64,0.6,0.62,33462,16
click,0.65,0.55,0.59,33462,17
click,0.64,0.6,0.62,33462,18
click,0.65,0.51,0.57,33462,19
click,0.65,0.59,0.62,33462,20
click,0.65,0.58,0.61,33462,21
click,0.65,0.59,0.61,33462,22
click,0.64,0.59,0.62,33462,23
click,0.64,0.59,0.62,33462,24
click,0.65,0.55,0.6,33462,25
click,0.63,0.6,0.62,32211,26
click,0.5,0.98,0.66,1251,27
click,0.65,0.64,0.64,78109,28
click,0.64,0.62,0.63,33462,29
exposure,0.66,0.47,0.55,35395,0
exposure,0.61,0.78,0.69,35395,1
exposure,0.64,0.69,0.67,35395,2
exposure,0.64,0.71,0.67,35395,3
exposure,0.63,0.73,0.68,35395,4
exposure,0.64,0.7,0.67,35395,5
exposure,0.63,0.71,0.66,35395,6
exposure,0.64,0.72,0.67,35395,7
exposure,0.64,0.7,0.67,35395,8
exposure,0.64,0.72,0.67,35395,9
exposure,0.64,0.68,0.66,35395,10
exposure,0.63,0.7,0.67,35395,11
exposure,0.64,0.7,0.67,35395,12
exposure,0.61,0.78,0.68,35395,13
exposure,0.64,0.69,0.66,35395,14
exposure,0.63,0.72,0.67,35395,15
exposure,0.64,0.69,0.66,35395,16
exposure,0.63,0.72,0.67,35395,17
exposure,0.64,0.68,0.66,35395,18
exposure,0.62,0.75,0.67,35395,19
exposure,0.64,0.7,0.67,35395,20
exposure,0.64,0.7,0.67,35395,21
exposure,0.64,0.7,0.67,35395,22
exposure,0.64,0.69,0.67,35395,23
exposure,0.64,0.69,0.67,35395,24
exposure,0.63,0.72,0.67,35395,25
exposure,0.64,0.67,0.65,34096,26
exposure,0.7,0.04,0.07,1300,27
exposure,0.66,0.67,0.67,82557,28
exposure,0.65,0.66,0.66,35395,29
macroavg,0.61,0.61,0.6,68857,0
macroavg,0.64,0.63,0.62,68857,1
macroavg,0.64,0.64,0.64,68857,2
macroavg,0.64,0.64,0.64,68857,3
macroavg,0.64,0.64,0.64,68857,4
macroavg,0.64,0.64,0.64,68857,5
macroavg,0.63,0.63,0.63,68857,6
macroavg,0.64,0.64,0.64,68857,7
macroavg,0.64,0.64,0.64,68857,8
macroavg,0.65,0.64,0.64,68857,9
macroavg,0.64,0.64,0.64,68857,10
macroavg,0.64,0.64,0.64,68857,11
macroavg,0.64,0.64,0.64,68857,12
