yyh_imei_app.imei_match,yyh_imei_app.idfa_imei
351702073925527,3.51702E+14
351702075975421,3.51702E+14
352097090749748,3.52097E+14
352625065118604,3.52625E+14
353460083215888,3.5346E+14
354765081343162,3.54765E+14
357755070869837,3.57755E+14
358584055174636,3.58584E+14
358811073994376,3.58811E+14
359583072800149,3.59583E+14
4999010640000,NULL
860209034246716,8.60209E+14
860737030666156,8.60737E+14
860750034410497,8.6075E+14
860778037855376,8.60778E+14
861079033528813,8.61079E+14
861247035401665,8.61247E+14
861258033641533,8.61258E+14
861258035762212,8.61258E+14
861269037817664,8.61269E+14
861309032987417,8.61309E+14
861443032329575,8.61443E+14
861464031847730,8.61464E+14
861530032137030,8.6153E+14
861726039782113,8.61726E+14
861846035079395,8.61846E+14
861955033031785,8.61955E+14
862002035597403,8.62002E+14
862021034222532,8.62021E+14
862022033023038,8.62022E+14
862022038321155,8.62022E+14
862022039439998,8.62022E+14
862096036015431,8.62096E+14
862097034609217,8.62097E+14
862097039674216,8.62097E+14
862183033009276,8.62183E+14
862183034401837,8.62183E+14
862217039563033,8.62217E+14
862391036326759,8.62391E+14
862467031207499,8.62467E+14
862467033686096,8.62467E+14
862468036199954,8.62468E+14
862471032417214,8.62471E+14
862471033229410,8.62471E+14
862506030467032,8.62506E+14
862532038003611,8.62532E+14
862559035609082,8.62559E+14
862565035372381,8.62565E+14
862604035041694,8.62604E+14
862609031524312,8.62609E+14
862609034903372,8.62609E+14
862668033167710,8.62668E+14
862668037325611,8.62668E+14
862689037398119,8.62689E+14
862787034771112,8.62787E+14
862812034191838,8.62812E+14
862812039615658,8.62812E+14
862828037520559,NULL
862918034510131,8.62918E+14
869927026280515,8.69927E+14
869982036033412,8.69982E+14
A00000569682C2,A00000569682C2
353405060700691,3.53405E+14
353605005232656,3.53605E+14
357784055130478,3.57784E+14
358811076702511,3.58811E+14
860209030627190,8.60209E+14
860257031557510,8.60257E+14
860736036694931,8.60736E+14
860778036358893,8.60778E+14
860799038707689,8.60799E+14
861065031991228,8.61065E+14
861079036327973,8.61079E+14
861141033641689,8.61141E+14
861259035437318,8.61259E+14
861305033541187,8.61305E+14
861316036187506,8.61316E+14
861443037704459,8.61443E+14
861443037920576,8.61443E+14
861464033237831,8.61464E+14
861543030352519,8.61543E+14
861744032041957,8.61744E+14
861744036626639,8.61744E+14
861851039088400,8.61851E+14
862332032483087,8.62332E+14
862452030552319,8.62452E+14
862467030464711,8.62467E+14
862468032535490,8.62468E+14
862534035116263,8.62534E+14
862660036735957,8.6266E+14
862689030418112,8.62689E+14
862719032871560,8.62719E+14
862734033107393,8.62734E+14
862787038932710,8.62787E+14
862787039350490,8.62787E+14
862788036512942,8.62788E+14
862828033549511,8.62828E+14
862860039639764,8.6286E+14
862961030424071,8.62961E+14
866590036642240,NULL
A100005572D8CC,A100005572D8CC
351952083741659,3.51952E+14
352709081607020,3.52709E+14
353460081310921,3.5346E+14
353460084201325,3.5346E+14
356156074577305,3.56156E+14
356156078198579,3.56156E+14
356629061358020,3.56629E+14
860778037009214,8.60778E+14
860789032252055,8.60789E+14
860916037653413,8.60916E+14
861042036920221,8.61042E+14
861055032978662,8.61055E+14
861079035319112,8.61079E+14
861079036464792,8.61079E+14
861258031264130,8.61258E+14
861353031072896,8.61353E+14
861543036098090,8.61543E+14
861543036858212,8.61543E+14
861603039553085,8.61603E+14
861743032138433,8.61743E+14
861744037527851,8.61744E+14
861874033590734,8.61874E+14
862061037265435,8.62061E+14
862230030332332,8.6223E+14
862231031775016,8.62231E+14
862231039192156,8.62231E+14
862231039968498,8.62231E+14
862468030743690,8.62468E+14
862468035883533,8.62468E+14
862526032018898,8.62526E+14
862604035464011,8.62604E+14
862660039172059,8.6266E+14
862732034466917,8.62732E+14
862772038764206,8.62772E+14
862783031165093,8.62783E+14
862814035295618,8.62814E+14
862828030719273,8.62828E+14
862828034958810,8.62828E+14
862829030800998,8.62829E+14
862886039350532,8.62886E+14
862904032334880,8.62904E+14
862949036579998,8.62949E+14
862977040420511,NULL
863336035177082,8.63336E+14
867689024952774,8.67689E+14
353919025680130,3.53919E+14
353988080011652,3.53988E+14
353988080307852,3.53988E+14
354765083271668,3.54765E+14
358520080808954,3.5852E+14
860265038892996,8.60265E+14
860824031049200,8.60824E+14
861064030905032,8.61064E+14
861353033804478,8.61353E+14
861462030113864,8.61462E+14
861519035592119,8.61519E+14
861744030709332,8.61744E+14
861744032649171,8.61744E+14
861744037369254,8.61744E+14
861761033913588,8.61761E+14
861874034116893,8.61874E+14
861874038717357,8.61874E+14
861916030093418,8.61916E+14
862017035566679,8.62017E+14
862020035041396,8.6202E+14
862458038225196,8.62458E+14
862526035852418,8.62526E+14
862526037654515,8.62526E+14
862594030738248,8.62594E+14
862634033887137,8.62634E+14
862634035447179,8.62634E+14
862636035538899,8.62636E+14
862732037305955,8.62732E+14
862819032378598,8.62819E+14
862819035964576,8.62819E+14
862829030427057,8.62829E+14
862829038348495,8.62829E+14
862949030485812,8.62949E+14
862949033159992,8.62949E+14
862949035563258,8.62949E+14
869320030398251,NULL
A1000050651FF0,NULL
354765082166711,3.54765E+14
357507050008880,3.57507E+14
358695074291951,3.58695E+14
860439032255274,NULL
860750036897139,8.6075E+14
860775030350330,8.60775E+14
860797039235379,8.60797E+14
861079034866758,8.61079E+14
861106038084821,8.61106E+14
861262033752399,8.61262E+14
861262035086432,8.61262E+14
861337036233249,8.61337E+14
861353039950671,8.61353E+14
861404034783516,8.61404E+14
861405031080491,8.61405E+14
861405031851800,8.61405E+14
861405036237948,8.61405E+14
861468037620546,8.61468E+14
861495035295393,8.61495E+14
861519039250805,8.61519E+14
861540038539253,8.6154E+14
861545038504157,8.61545E+14
861599033432658,8.61599E+14
861617038594932,8.61617E+14
861730034615138,8.6173E+14
861839032985581,8.61839E+14
862021036992017,8.62021E+14
862021037792630,8.62021E+14
862022031836555,8.62022E+14
862096035761654,8.62096E+14
862096038527813,8.62096E+14
862142085021515,8.62142E+14
862217032521434,8.62217E+14
862217032683093,8.62217E+14
862238036963604,8.62238E+14
862363033715979,8.62363E+14
862603032305219,8.62603E+14
862604034096251,8.62604E+14
862604037547839,8.62604E+14
862629035708596,8.62629E+14
862732031257392,8.62732E+14
862732037361198,8.62732E+14
862805032638933,8.62805E+14
862814032806516,8.62814E+14
862814036291178,8.62814E+14
862820033477637,8.6282E+14
862950034030976,8.6295E+14
863507038347084,8.63507E+14
353114085557967,3.53114E+14
355309071620484,3.55309E+14
355457082902746,3.55457E+14
355905075012410,3.55905E+14
356135080118114,3.56135E+14
357090073681835,3.5709E+14
358811073772467,3.58811E+14
359583075073884,3.59583E+14
359942073780330,3.59942E+14
860266038472755,8.60266E+14
860576037109962,8.60576E+14
860832032901519,8.60832E+14
861078034909675,8.61078E+14
861309030437878,8.61309E+14
861406034673621,8.61406E+14
861463033706910,8.61463E+14
861463035283413,8.61463E+14
861504033182790,8.61504E+14
861599039799811,8.61599E+14
861742030864198,8.61742E+14
861742035327951,8.61742E+14
861845034246336,8.61845E+14
861845034790440,8.61845E+14
861845038197261,8.61845E+14
861916039177410,8.61916E+14
861916039887034,8.61916E+14
862017034035338,8.62017E+14
862017036709716,8.62017E+14
862022037084713,8.62022E+14
862096030708734,8.62096E+14
862096031744571,8.62096E+14
862096038957051,8.62096E+14
862097030875374,8.62097E+14
862110034391429,8.6211E+14
862183035270215,8.62183E+14
862183036376334,8.62183E+14
862460036110826,8.6246E+14
862460039805075,8.6246E+14
862466035431915,8.62466E+14
862471032205395,8.62471E+14
862604036865711,8.62604E+14
862609037348575,8.62609E+14
862634037447490,8.62634E+14
862634038236132,8.62634E+14
862636036721775,8.62636E+14
862636038958177,8.62636E+14
862689035354767,8.62689E+14
862689039485674,8.62689E+14
862734035682997,8.62734E+14
862941035955949,8.62941E+14
862949038570110,8.62949E+14
863905035749239,8.63905E+14
99000877629800,NULL
A00000625A693D,NULL
A00000731E05FE,NULL
352562073116496,3.52562E+14
353745061303833,3.53745E+14
353925063231048,3.53925E+14
356359080475726,3.56359E+14
358811076948262,3.58811E+14
359583079127454,3.59583E+14
359583079937365,3.59583E+14
860737037567878,8.60737E+14
860750039200695,8.6075E+14
860832037439614,8.60832E+14
861042037485174,8.61042E+14
861069037726687,8.61069E+14
861079035252453,8.61079E+14
861084032658496,8.61084E+14
861113034845262,8.61113E+14
861258033813835,8.61258E+14
861259030739452,8.61259E+14
861464038193476,8.61464E+14
861487035260709,8.61487E+14
861504037211637,8.61504E+14
861608035610763,8.61608E+14
862002031500872,8.62002E+14
862023034591296,8.62023E+14
862175032590710,8.62175E+14
862179031580334,8.62179E+14
862183038983632,8.62183E+14
862217038382013,8.62217E+14
862332039611763,8.62332E+14
862468037665375,8.62468E+14
862636031338294,8.62636E+14
862734036052653,8.62734E+14
862759034113090,8.62759E+14
862767036793066,8.62767E+14
862827035944688,8.62827E+14
862827038034586,8.62827E+14
862828038596533,8.62828E+14
862891032292806,8.62891E+14
862961030804470,8.62961E+14
862962034457059,8.62962E+14
867392031857629,NULL
352575072062982,3.52575E+14
352709080733116,3.52709E+14
354730085767345,3.5473E+14
355237082901637,3.55237E+14
357612081042237,3.57612E+14
357755071002834,3.57755E+14
359881064755648,3.59881E+14
860273033303779,8.60273E+14
860784034346419,8.60784E+14
861079036063297,8.61079E+14
861259031238058,8.61259E+14
861259036174258,8.61259E+14
861337035388499,8.61337E+14
861464033707114,8.61464E+14
861602037333391,8.61602E+14
861742038041070,8.61742E+14
861744033695470,8.61744E+14
861874035676796,8.61874E+14
862231039696297,8.62231E+14
862379038353392,8.62379E+14
862380034814932,8.6238E+14
862387031584624,8.62387E+14
862458030930256,8.62458E+14
862458033505279,8.62458E+14
862467034926590,8.62467E+14
862467038221972,8.62467E+14
862468033650538,8.62468E+14
862468037653793,8.62468E+14
862471039231113,8.62471E+14
862479035071177,8.62479E+14
862526037575553,8.62526E+14
862535037755214,8.62535E+14
862609036302433,8.62609E+14
862659030201784,8.62659E+14
862660030673550,8.6266E+14
862746031929446,8.62746E+14
862783034992196,8.62783E+14
862783035872710,8.62783E+14
862783036265575,8.62783E+14
862783038799175,8.62783E+14
862812033125712,8.62812E+14
862813030167277,8.62813E+14
862813030659497,8.62813E+14
862886031983348,8.62886E+14
862891031352346,8.62891E+14
862955034086779,8.62955E+14
867899027542213,8.67899E+14
869927022921211,8.69927E+14
99000860214286,NULL
351952080268748,3.51952E+14
352575071284249,3.52575E+14
352575071926930,3.52575E+14
35391007083638,3.5391E+13
353988080092397,3.53988E+14
354732084787589,3.54732E+14
354763080238889,3.54763E+14
356156074492828,3.56156E+14
358108063266000,3.58108E+14
358108067246347,3.58108E+14
358314070538999,3.58314E+14
359274072821521,3.59274E+14
860268032612071,8.60268E+14
860441039943191,8.60441E+14
860485038472892,8.60485E+14
860716039056643,8.60716E+14
860776030596823,8.60776E+14
860784034209773,8.60784E+14
860799039064247,8.60799E+14
861055032552327,8.61055E+14
861065034466186,8.61065E+14
861141032817736,8.61141E+14
861271037884504,8.61271E+14
861309037807370,8.61309E+14
861353030138854,8.61353E+14
861379036185250,8.61379E+14
861404038545655,8.61404E+14
861413035873481,8.61413E+14
861451033099261,8.61451E+14
861488038067588,8.61488E+14
861504035100030,8.61504E+14
861600032259736,8.616E+14
861600034360458,8.616E+14
861600038575614,8.616E+14
861744038698172,8.61744E+14
861749033000191,8.61749E+14
861761031177772,8.61761E+14
861874034053799,8.61874E+14
861875032018429,8.61875E+14
862209033459029,8.62209E+14
862209038149880,8.62209E+14
862231036535316,8.62231E+14
862263031816813,8.62263E+14
862263033885451,8.62263E+14
862363033934042,8.62363E+14
862391030304760,8.62391E+14
862452036452803,8.62452E+14
862460030985355,8.6246E+14
862468037018195,8.62468E+14
862468039388414,8.62468E+14
862479037632539,8.62479E+14
862526032933997,8.62526E+14
862531033179970,8.62531E+14
862537035696424,8.62537E+14
862552039276768,8.62552E+14
862552039792756,8.62552E+14
862681030584043,8.62681E+14
862783037662150,8.62783E+14
862828036717271,8.62828E+14
862829030237936,8.62829E+14
862904030472245,8.62904E+14
862917031186150,8.62917E+14
862950030686854,8.6295E+14
866215033802866,NULL
354732082368176,3.54732E+14
354732084156157,3.54732E+14
354765080584600,3.54765E+14
355021060177026,3.55021E+14
355905073262017,3.55905E+14
355905074479610,3.55905E+14
357555057856819,3.57555E+14
860439033556571,8.60439E+14
860749038088655,8.60749E+14
860776031198645,8.60776E+14
861054031806313,8.61054E+14
861065030934013,8.61065E+14
861404032340897,8.61404E+14
861404033396435,8.61404E+14
861404035778994,8.61404E+14
861404037088376,8.61404E+14
861530030537587,8.6153E+14
861543039804338,8.61543E+14
861545030184073,8.61545E+14
861600038733718,8.616E+14
861845030350918,8.61845E+14
862021032886171,8.62021E+14
862021038366673,8.62021E+14
862263035052670,8.62263E+14
862263035521831,8.62263E+14
862263036843572,8.62263E+14
862263039848156,8.62263E+14
862458037052690,8.62458E+14
862468034154233,8.62468E+14
862490033143660,8.6249E+14
862504035748670,8.62504E+14
862504036711453,8.62504E+14
862526034207655,8.62526E+14
862547035709960,8.62547E+14
862552035307906,8.62552E+14
862603033026871,8.62603E+14
862604033565553,8.62604E+14
862634033383673,8.62634E+14
862668032298854,8.62668E+14
862681035704786,8.62681E+14
862732030423979,8.62732E+14
862784035009832,8.62784E+14
862784035774013,8.62784E+14
862814033734998,8.62814E+14
862829035253714,8.62829E+14
862950036596099,8.6295E+14
862955030705786,8.62955E+14
864225036727012,8.64225E+14
867910028047654,8.6791E+14
868030032778027,NULL
869092020290596,8.69092E+14
354332070345250,3.54332E+14
354732084123587,3.54732E+14
354763081024247,3.54763E+14
357008082295900,3.57008E+14
357008083975328,3.57008E+14
357751074422285,3.57751E+14
358211070473393,3.58211E+14
359881067831180,3.59881E+14
860750030096134,8.6075E+14
860750033626697,8.6075E+14
860750038980875,8.6075E+14
860776031821238,8.60776E+14
861142038448229,8.61142E+14
861262038497255,8.61262E+14
861404030071510,8.61404E+14
861405036077500,8.61405E+14
861468039182651,8.61468E+14
861599030025992,8.61599E+14
861599030977176,8.61599E+14
861603030568769,8.61603E+14
861744037246130,8.61744E+14
861757036966185,8.61757E+14
861790030180735,8.6179E+14
861916031326817,8.61916E+14
